date,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-10-09,2.5,96.56208333333332,0.00375,0.049999999999999996,64.12125,0.17541666666666667,11.408333333333333,50.94416666666667,0.0
2025-10-10,2.0,97.01416666666667,0.0016666666666666668,0.04041666666666666,64.41458333333334,0.13333333333333333,9.907916666666667,35.35333333333333,0.0
2025-10-11,1.875,98.09125,0.0,0.04083333333333333,61.017500000000005,0.12416666666666666,6.801666666666667,21.900000000000002,0.0
2025-10-12,2.4583333333333335,101.93208333333332,0.00375,0.07291666666666667,71.84625,0.39875,13.64,46.11625,0.0
2025-10-13,3.0,127.32708333333333,0.005,0.125,98.41333333333334,1.1225,27.540000000000003,74.83208333333333,0.0
2025-10-14,3.0,123.20833333333333,0.004583333333333333,0.12458333333333334,99.80624999999999,1.0395833333333333,25.28125,62.01125,0.0
2025-10-15,3.0,129.31125,0.006666666666666667,0.16666666666666666,108.45875000000001,1.6275000000000002,32.9325,80.56291666666667,0.0
2025-10-16,3.0,133.4675,0.010416666666666666,0.23875000000000002,103.21375,1.6766666666666667,34.09291666666667,88.02541666666667,0.00125
2025-10-17,3.8333333333333335,158.10708333333335,0.012083333333333333,0.2575,112.97291666666666,2.0120833333333334,46.83583333333333,116.13291666666667,0.06833333333333333
2025-10-18,3.0,139.09,0.0,0.11,110.46,1.54,41.330000000000005,92.67999999999999,0.0
