,aqi_index,co,no,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,pressure,wind_speed
aqi_index,1.0,0.6517806840320304,0.5145075801697956,0.6433366136904162,0.404286613714254,0.6813489201464722,0.7361273072659028,0.8475719464350463,0.6580950626814626,-0.4893210849448296,-0.5399846020665354,0.46383414590160055,-0.3905692311781963
co,0.6517806840320304,1.0,0.9044610884763777,0.9939476501880752,0.1626045380011475,0.9173400151302858,0.9558093563960768,0.832403102151806,0.9761536663529334,-0.7163804357841371,-0.5446924694619604,0.6908527230300895,-0.5109319133392479
no,0.5145075801697956,0.9044610884763777,1.0,0.8877771295002843,-0.057946287362829585,0.7506505239156571,0.8113727586125651,0.7138028007414878,0.8525649655734896,-0.526193899206969,-0.3901213181043024,0.5437662580084207,-0.426504694654165
no2,0.6433366136904162,0.9939476501880752,0.8877771295002843,1.0,0.151819886940997,0.9120256366186473,0.9405288652125534,0.8211356157402501,0.9740257682333714,-0.7028455912712206,-0.5347300109023683,0.6893807295213502,-0.5072428371559624
o3,0.404286613714254,0.1626045380011475,-0.057946287362829585,0.151819886940997,1.0,0.2815480412136494,0.2679354090981312,0.22605476115761972,0.20112265807885482,-0.30394921287795457,-0.57453526636126,0.46474989851155735,-0.2537870068281085
so2,0.6813489201464722,0.9173400151302858,0.7506505239156571,0.9120256366186473,0.2815480412136494,1.0,0.8838339105424022,0.7646111080201252,0.9571586368743145,-0.8123870686289065,-0.6864151666334478,0.7332212919940426,-0.5015484572067995
pm2_5,0.7361273072659028,0.9558093563960768,0.8113727586125651,0.9405288652125534,0.2679354090981312,0.8838339105424022,1.0,0.9264100422567657,0.9220109499630726,-0.672594581972804,-0.5181012124962278,0.6238736849510021,-0.468265168765377
pm10,0.8475719464350463,0.832403102151806,0.7138028007414878,0.8211356157402501,0.22605476115761972,0.7646111080201252,0.9264100422567657,1.0,0.7982522393855522,-0.5062948166723831,-0.4332405421734724,0.45211147788637956,-0.3810711930446305
nh3,0.6580950626814626,0.9761536663529334,0.8525649655734896,0.9740257682333714,0.20112265807885482,0.9571586368743145,0.9220109499630726,0.7982522393855522,1.0,-0.761397744837859,-0.6174691879303789,0.7107133938867944,-0.5024242981551365
temperature,-0.4893210849448296,-0.7163804357841371,-0.526193899206969,-0.7028455912712206,-0.30394921287795457,-0.8123870686289065,-0.672594581972804,-0.5062948166723831,-0.761397744837859,1.0,0.6052925357975372,-0.7998818162654994,0.48997436069049644
humidity,-0.5399846020665354,-0.5446924694619604,-0.3901213181043024,-0.5347300109023683,-0.57453526636126,-0.6864151666334478,-0.5181012124962278,-0.4332405421734724,-0.6174691879303789,0.6052925357975372,1.0,-0.6869127075272909,0.4229979233822928
pressure,0.46383414590160055,0.6908527230300895,0.5437662580084207,0.6893807295213502,0.46474989851155735,0.7332212919940426,0.6238736849510021,0.45211147788637956,0.7107133938867944,-0.7998818162654994,-0.6869127075272909,1.0,-0.5724882042225747
wind_speed,-0.3905692311781963,-0.5109319133392479,-0.426504694654165,-0.5072428371559624,-0.2537870068281085,-0.5015484572067995,-0.468265168765377,-0.3810711930446305,-0.5024242981551365,0.48997436069049644,0.4229979233822928,-0.5724882042225747,1.0
